"","id","prophet","xgboost","fft"
"1",2021-01-01,0.39626060299608,0.483029419642091,0.554982527145829
"2",2021-01-01 01:00:00,0.39622180863965,0.508877637840301,0.554899543913394
"3",2021-01-01 02:00:00,0.396172277144893,0.510094181424689,0.554821680245219
"4",2021-01-01 03:00:00,0.396164591745995,0.487295574508584,0.554742274426975
"5",2021-01-01 04:00:00,0.396129289848383,0.482294610933925,0.554662334659254
"6",2021-01-01 05:00:00,0.396099777995875,0.48771526138804,0.554580620980895
"7",2021-01-01 06:00:00,0.396053352771792,0.484536685168864,0.552189275534351
"8",2021-01-01 07:00:00,0.396046350513199,0.486445767803109,0.552108896374271
"9",2021-01-01 08:00:00,0.396026312492631,0.484980756594628,0.552028503528155
"10",2021-01-01 09:00:00,0.395988033257954,0.487162958173083,0.551951979813463
"11",2021-01-01 10:00:00,0.395955819030412,0.486406175827167,0.551873741696703
"12",2021-01-01 11:00:00,0.39593359445557,0.485170531398737,0.551795492823053
"13",2021-01-01 12:00:00,0.395910614510511,0.484703515748778,0.551713833537715
"14",2021-01-01 13:00:00,0.395880609892547,0.4861599716387,0.551639560898566
"15",2021-01-01 14:00:00,0.39584459729352,0.485009778591436,0.551562727585021
"16",2021-01-01 15:00:00,0.39582166209848,0.484563100402729,0.551484187117279
"17",2021-01-01 16:00:00,0.395791749928196,0.480384237785004,0.551403093115722
"18",2021-01-01 17:00:00,0.395767176691357,0.48000855139141,0.551323952415518
"19",2021-01-01 18:00:00,0.395737041170131,0.468995228927813,0.551241414063771
"20",2021-01-01 19:00:00,0.395693354248656,0.457885621750821,0.551158148797246
"21",2021-01-01 20:00:00,0.395687185927623,0.459815401928896,0.551076206812246
"22",2021-01-01 21:00:00,0.395639829333557,0.455703173063576,0.550995492956759
"23",2021-01-01 22:00:00,0.395612207047477,0.45310494450264,0.550916948739937
"24",2021-01-01 23:00:00,0.39559331662304,0.451650654875649,0.550836241248982
"25",2021-01-02,0.395560477112045,0.450530954021298,0.550758461211706
"26",2021-01-02 01:00:00,0.395557812382267,0.447826105308869,0.550679930329841
"27",2021-01-02 02:00:00,0.39550884781281,0.444209128381495,0.550602252384698
"28",2021-01-02 03:00:00,0.395493280652109,0.441366340968653,0.550524580916713
"29",2021-01-02 04:00:00,0.395459974963759,0.44535748842955,0.550443910979863
"30",2021-01-02 05:00:00,0.395444050372762,0.441379340502147,0.550362027195028
"31",2021-01-02 06:00:00,0.395411892242631,0.442053786185982,0.550281003028932
"32",2021-01-02 07:00:00,0.395393838547078,0.439685890228475,0.550196612987864
"33",2021-01-02 08:00:00,0.395357496220168,0.446787839364167,0.550117310422582
"34",2021-01-02 09:00:00,0.395345275726877,0.442974115043113,0.550038494016321
"35",2021-01-02 10:00:00,0.395315186644251,0.458008527320764,0.549962226256588
"36",2021-01-02 11:00:00,0.395290980277848,0.439972705466821,0.549894313863836
"37",2021-01-02 12:00:00,0.395272188790927,0.369280702770828,0.549824819422925
"38",2021-01-02 13:00:00,0.395218736435097,0.350380358838165,0.549757020077419
"39",2021-01-02 14:00:00,0.39523193115227,0.349923827453675,0.549688044192075
"40",2021-01-02 15:00:00,0.395178741186931,0.344907449136988,0.549621107509585
"41",2021-01-02 16:00:00,0.395162905756639,0.328194267800379,0.549556704764549
"42",2021-01-02 17:00:00,0.395140576534571,0.328461997793326,0.549495950057973
"43",2021-01-02 18:00:00,0.395117152345819,0.364364458668993,0.552835350880478
"44",2021-01-02 19:00:00,0.395081012045828,0.397032555628525,0.552777798297995
"45",2021-01-02 20:00:00,0.395049122371123,0.41156260382267,0.55272004166092
"46",2021-01-02 21:00:00,0.395030835252061,0.431412004477958,0.55265962849636
"47",2021-01-02 22:00:00,0.394989429687061,0.440373113842387,0.552596731132882
"48",2021-01-02 23:00:00,0.394959312240355,0.44968009208985,0.552539331027349
"49",2021-01-03,0.394924900022502,0.461927981162384,0.552476346327441
"50",2021-01-03 01:00:00,0.394886173318475,0.470340576424786,0.552412478259304
"51",2021-01-03 02:00:00,0.394860387124087,0.482834473575146,0.552345201346895
"52",2021-01-03 03:00:00,0.394830537130716,0.490930921791624,0.552276433630766
"53",2021-01-03 04:00:00,0.394785974890709,0.49644684052113,0.552206788544781
"54",2021-01-03 05:00:00,0.394750563851095,0.500918056781216,0.552139637426592
"55",2021-01-03 06:00:00,0.394722992763444,0.505040216714763,0.552073652594
"56",2021-01-03 07:00:00,0.394677827717725,0.510381131054095,0.55201100379235
"57",2021-01-03 08:00:00,0.39464147269501,0.511191783376688,0.551942904659187
"58",2021-01-03 09:00:00,0.394606433835386,0.515003423647028,0.551878145897222
"59",2021-01-03 10:00:00,0.394572597491323,0.51617500890755,0.551814198399812
"60",2021-01-03 11:00:00,0.394529049326086,0.5169503920927,0.55175274809655
"61",2021-01-03 12:00:00,0.394498857877396,0.517924848768578,0.551696322586031
"62",2021-01-03 13:00:00,0.394443652793096,0.51976632514124,0.551637334939803
"63",2021-01-03 14:00:00,0.394423507493125,0.520093669064065,0.551580996860047
"64",2021-01-03 15:00:00,0.394390787280184,0.524451048193527,0.551527155808008
"65",2021-01-03 16:00:00,0.394352562465741,0.525550263040026,0.551467867617484
"66",2021-01-03 17:00:00,0.394324868623679,0.526011995913354,0.551411440968342
"67",2021-01-03 18:00:00,0.394295164208514,0.527754227687827,0.5513541614442
"68",2021-01-03 19:00:00,0.394261038058008,0.5299081894617,0.551299332799043
"69",2021-01-03 20:00:00,0.394241725592859,0.530730931925307,0.551239623967268
"70",2021-01-03 21:00:00,0.394217092587209,0.53404289156252,0.551172027329826
