"...1","start_date","num_instances","cost","fft","xgb","prophet"
1,2021-01-01,0.217118997912317,24.611,-0.0104384133611691,0.00208768267223382,0.0250521920668058
2,2021-01-01 01:00:00,0.217118997912317,49.222,-0.0104384133611691,0.00208768267223382,0.0250521920668058
3,2021-01-01 02:00:00,0.217118997912317,73.833,-0.0104384133611691,0.00208768267223382,0.0250521920668058
4,2021-01-01 03:00:00,0.219206680584551,98.636,-0.0104384133611691,0.00208768267223382,0.0250521920668058
5,2021-01-01 04:00:00,0.219206680584551,123.439,-0.0104384133611691,0.00208768267223382,0.0250521920668058
6,2021-01-01 05:00:00,0.219206680584551,148.242,-0.0104384133611691,0.00208768267223382,0.0250521920668058
7,2021-01-01 06:00:00,0.219206680584551,173.045,-0.0104384133611691,0.00208768267223382,0.0250521920668058
8,2021-01-01 07:00:00,0.219206680584551,197.848,-0.0104384133611691,0.00208768267223382,0.0250521920668058
9,2021-01-01 08:00:00,0.217118997912317,222.459,-0.0104384133611691,0.00208768267223382,0.0250521920668058
10,2021-01-01 09:00:00,0.217118997912317,247.07,-0.0104384133611691,0.00208768267223382,0.0250521920668058
11,2021-01-01 10:00:00,0.217118997912317,271.681,-0.0104384133611691,0.00208768267223382,0.0250521920668058
12,2021-01-01 11:00:00,0.217118997912317,296.292,-0.0104384133611691,0.00208768267223382,0.0250521920668058
13,2021-01-01 12:00:00,0.217118997912317,320.903,-0.0104384133611691,0.00208768267223382,0.0250521920668058
14,2021-01-01 13:00:00,0.217118997912317,345.514,-0.0104384133611691,0.00208768267223382,0.0250521920668058
15,2021-01-01 14:00:00,0.217118997912317,370.125,-0.0104384133611691,0.00208768267223382,0.0271398747390397
16,2021-01-01 15:00:00,0.217118997912317,394.736,-0.0104384133611691,0.00208768267223382,0.0271398747390397
17,2021-01-01 16:00:00,0.217118997912317,419.347,-0.0104384133611691,0.00208768267223382,0.0271398747390397
18,2021-01-01 17:00:00,0.217118997912317,443.958,-0.0104384133611691,0.00208768267223382,0.0271398747390397
19,2021-01-01 18:00:00,0.219206680584551,468.761,-0.0104384133611691,0.00208768267223382,0.0271398747390397
20,2021-01-01 19:00:00,0.217118997912317,493.301,-0.0104384133611691,0.00208768267223382,0.0271398747390397
21,2021-01-01 20:00:00,0.219206680584551,518.033,-0.0104384133611691,0.00208768267223382,0.0271398747390397
22,2021-01-01 21:00:00,0.217118997912317,542.573,-0.0104384133611691,0.00208768267223382,0.0271398747390397
23,2021-01-01 22:00:00,0.219206680584551,567.305,-0.0104384133611691,0.00208768267223382,0.0271398747390397
24,2021-01-01 23:00:00,0.217118997912317,591.845,-0.0104384133611691,0.00208768267223382,0.0271398747390397
25,2021-01-02,0.217118997912317,616.385,-0.0104384133611691,0.00208768267223382,0.0271398747390397
26,2021-01-02 01:00:00,0.217118997912317,640.925,-0.0104384133611691,0.00208768267223382,0.0271398747390397
27,2021-01-02 02:00:00,0.217118997912317,665.465,-0.0104384133611691,0.00417536534446764,0.0271398747390397
28,2021-01-02 03:00:00,0.219206680584551,690.197,-0.0104384133611691,0.00626304801670146,0.0271398747390397
29,2021-01-02 04:00:00,0.217118997912317,714.737,-0.0104384133611691,0.00626304801670146,0.0271398747390397
30,2021-01-02 05:00:00,0.217118997912317,739.277,-0.0104384133611691,0.00626304801670146,0.0271398747390397
31,2021-01-02 06:00:00,0.217118997912317,763.817,-0.0104384133611691,0.00626304801670146,0.0271398747390397
32,2021-01-02 07:00:00,0.217118997912317,788.357,-0.0104384133611691,0.00626304801670146,0.0271398747390397
33,2021-01-02 08:00:00,0.215031315240084,812.705,-0.0104384133611691,0.00626304801670146,0.0271398747390397
34,2021-01-02 09:00:00,0.215031315240084,837.053,-0.0104384133611691,0.00626304801670146,0.0271398747390397
35,2021-01-02 10:00:00,0.215031315240084,861.401,-0.0104384133611691,0.00626304801670146,0.0271398747390397
36,2021-01-02 11:00:00,0.215031315240084,885.749,-0.0104384133611691,0.00626304801670146,0.0271398747390397
37,2021-01-02 12:00:00,0.215031315240084,910.097,-0.0104384133611691,0.0292275574112735,0.0271398747390397
38,2021-01-02 13:00:00,0.215031315240084,934.445,-0.0104384133611691,0.0375782881002088,0.0271398747390397
39,2021-01-02 14:00:00,0.215031315240084,958.793,-0.0104384133611691,0.0375782881002088,0.0271398747390397
40,2021-01-02 15:00:00,0.215031315240084,983.141,-0.0104384133611691,0.0396659707724426,0.0271398747390397
41,2021-01-02 16:00:00,0.217118997912317,1007.681,-0.0104384133611691,0.0542797494780793,0.0271398747390397
42,2021-01-02 17:00:00,0.215031315240084,1032.029,-0.0104384133611691,0.0542797494780793,0.0271398747390397
43,2021-01-02 18:00:00,0.215031315240084,1056.377,-0.0104384133611691,0.0855949895615866,0.0271398747390397
44,2021-01-02 19:00:00,0.217118997912317,1080.917,-0.0104384133611691,0.108559498956159,0.0271398747390397
45,2021-01-02 20:00:00,0.217118997912317,1105.457,-0.0104384133611691,0.116910229645094,0.0271398747390397
46,2021-01-02 21:00:00,0.217118997912317,1129.997,-0.0104384133611691,0.127348643006263,0.0271398747390397
47,2021-01-02 22:00:00,0.215031315240084,1154.345,-0.0104384133611691,0.133611691022964,0.0271398747390397
48,2021-01-02 23:00:00,0.217118997912317,1178.885,-0.0104384133611691,0.137787056367432,0.0271398747390397
49,2021-01-03,0.217118997912317,1203.425,-0.0104384133611691,0.144050104384134,0.0271398747390397
50,2021-01-03 01:00:00,0.217118997912317,1227.965,-0.0104384133611691,0.148225469728601,0.0271398747390397
